LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C102685,RTT011003FTH,RALEC,,0201,100kΩ ±1% 50mW 0201 Thick Film Resistor,YES,100,0.0007,0.07,,,
C5444549,XL2EL89CPI-111YLC-40M,YXC Crystal Oscillators,,SMD3225-4P,Crystal 40MHz ±10ppm 15pF SMD3225-4P,YES,10,0.0659,0.66,,,
C52766457,MLD-TYPE-C-3.1-16PIN-L7.35,Minlenda,,SMD,"SMD USB, DVI, HDMI Connector Adapters RoHS",YES,20,0.0448,0.90,,,
C48533039,DS8571-12D4,DSTECH,,DFN-4L-EP(1x1),Linear Voltage Regulator IC Positive Fixed 1 Output 300mA DFN-4L-EP(1x1),YES,20,0.0317,0.63,,,
C48533043,DS8571-33D4,DSTECH,,DFN-4L-EP(1x1),Linear Voltage Regulator IC Positive Fixed 1 Output 300mA DFN-4L-EP(1x1),YES,20,0.0317,0.63,,,
C570857,EA3036CQBR,Everanalog IC design,,WQFN-20-EP(3x3),WQFN-20-EP(3x3) Power Management - Specialized RoHS,YES,10,0.2629,2.63,,,
C616908,ATECC608A-MAHDA-S,MICROCHIP,,UDFN-8(2x3),I2C UDFN-8(2x3) Specialized ICs RoHS,YES,10,1.1672,11.67,,,
C97522,W25Q256JVEIQ,Winbond,,WSON-8-EP(6x8),FLASH - NOR Memory IC 256Mbit SPI 133MHz WSON-8-EP(6x8),YES,10,3.865,38.65,,,
C22387510,ESP32-P4NRW32,ESPRESSIF,,QFN-104(10x10),QFN-104(10x10) Microcontrollers RoHS,YES,10,5.156,51.56,,,
C21189,0603WAF0000T5E,UNI-ROYAL,,0603,0Ω ±1% 100mW 0603 Thick Film Resistor,YES,100,0.0013,0.13,,,
C304503,RC-01W102JT,FH,,0201,1kΩ ±5% 50mW 0201 Thick Film Resistor,YES,100,0.0007,0.07,,,
C170309,WR04X4021FTL,Walsin,,0402,62.5mW 4.02kΩ 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0004,0.04,,,
C270346,0201WMF4701TEE,UNI-ROYAL,,0201,4.7kΩ ±1% 50mW 0201 Thick Film Resistor,YES,100,0.0011,0.11,,,
C25905,0402WGF5101TCE,UNI-ROYAL,,0402,5.1kΩ ±1% 62.5mW 0402 Thick Film Resistor,YES,200,0.0008,0.16,,,
C18164326,FRC0201F1502TS,FOJAN,,0201,15kΩ 50mW 25V Thick Film Resistor ±200ppm/℃ ±1% 0201 Chip Resistor - Surface Mount RoHS,YES,100,0.0007,0.07,,,
C423450,0201WMF6802TEE,UNI-ROYAL,,0201,68kΩ ±1% 50mW 0201 Thick Film Resistor,YES,100,0.0011,0.11,,,
C334606,WR02X22R0FAL,Walsin,,0201,22Ω ±1% 50mW 0201 Thick Film Resistor,YES,200,0.0009,0.18,,,
C473473,0201WMF0000TEE,UNI-ROYAL,,0201,0Ω ±1% 50mW 0201 Thick Film Resistor,YES,200,0.0008,0.16,,,
C3646922,XL-0201UGC,XINGLIGHT,,0201,Emerald Green 525nm LED Indication - Discrete 3.3V 0201,YES,100,0.0537,5.37,,,
C17701177,MTQH201210S1R5MBT,MetalLions,,0805,2.6A 1.5uH 76mΩ 3.2A Molded Inductor ±20% 0805 Fixed Inductors RoHS,YES,100,0.0692,6.92,,,
C49166756,HC-FPC-0.5-15P-FH20,Hong Cheng,,"SMD,P=0.5mm,Surface Mount,Right Angle","FFC/FPC Connector 15 Position 0.5mm Pitch Bottom Contact Surface Mount, Right Angle -25℃~+85℃",YES,100,0.0548,5.48,,,
C15525,CL05A106MQ5NUNC,Samsung Electro-Mechanics,,0402,10uF ±20% 6.3V Ceramic Capacitor X5R 0402,YES,200,0.0073,1.46,,,
C1530,0402B221K500NT,FH,,0402,220pF ±10% 50V Ceramic Capacitor X7R 0402,YES,100,0.0013,0.13,,,
C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,,0402,100nF ±10% 16V Ceramic Capacitor X7R 0402,YES,100,0.0013,0.13,,,
C526939,CC0201JRX7R7BB103,YAGEO,,0201,10nF ±5% 16V Ceramic Capacitor X7R 0201,YES,100,0.0018,0.18,,,
C5448871,TCC0402X7R105K6R3AT,CCTC,,0402,1uF ±10% 6.3V Ceramic Capacitor X7R 0402,YES,200,0.0039,0.78,,,
C7393837,TCC0201X7R104K100ZT,CCTC,,0201,100nF ±10% 10V Ceramic Capacitor X7R 0201,YES,300,0.001,0.30,,,
C541209,CC0201JRNPO9BN240,YAGEO,,0201,24pF ±5% 50V Ceramic Capacitor NP0 0201,YES,200,0.0011,0.22,,,
C49234136,HX-2x4x3.5CA-1.6N,hanxia,,"SMD,4.6x1.8mm","Tactile Switch SPST 160gf 3.5mm SMD (SMT) Tab 4.55mm x 1.8mm Surface Mount, Right Angle",YES,100,0.0208,2.08,,,
C17701135,MTQH201610S1R5MBT,MetalLions,,0806,2.6A 1.5uH 80mΩ 3.2A Magnetic Shielded Inductor ±20% 0806 Fixed Inductors RoHS,YES,100,0.0305,3.05,,,
C2879836,DT-2255525,XKB Connection,,-,Power Barrel Connector Jack 2.5mm ID Solder Cup,YES,5,0.134,0.67,,,
C60490,RC0402FR-0710KL,YAGEO,,0402,62.5mW 10kΩ 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0008,0.08,,,
C2906865,FRC0402F2201TS,FOJAN,,0402,2.2kΩ ±1% 62.5mW 0402 Thick Film Resistor,YES,100,0.0006,0.06,,,
C107368,CL10B475KQ8NQNC,Samsung Electro-Mechanics,,0603,4.7uF ±10% 6.3V Ceramic Capacitor X7R 0603,YES,100,0.0198,1.98,,,
