LCSC#,MPN,Manufacturer,Package,Description,Quantity,Unit Price($),Extended Price($),Source,Flag
C41417281,FNTC0402X103F3380FB,cjiang,0402,NTC Thermistor 10kΩ 0402,100,0.0104,1.04,Cart 1,
C423331,0201WMJ0685TEE,UNI-ROYAL,0201,6.8MΩ ±5% 50mW 0201 Resistor,100,0.0009,0.09,Cart 1,
C2906948,FRC0402J512 TS,FOJAN,0402,5.1kΩ ±5% 62.5mW 0402 Resistor,100,0.0005,0.05,Cart 1,NEAR DUPE: C25905 5.1kΩ 0402 (200 on hand)
C3017497,SCR0402J10K,VO,0402,10kΩ ±5% 62.5mW 0402 Resistor,100,0.0004,0.04,Cart 1,NEAR DUPE: C60490 10kΩ 0402 (100 on hand)
C15464,BQ24075RGTR,TI,QFN-16-EP(3x3),Li Battery Charger 1.5A 4.35V~6.4V,10,0.8368,8.37,Cart 1,
C2858491,ESP32-C3FH4,ESPRESSIF,QFN-32-EP(5x5),ESP32-C3 RF Transceiver Module,10,2.0626,20.63,Cart 1,
C50380690,LCK-TF-109H4508-WLG,LCKELEC,SMD,MicroSD Card Socket,20,0.1520,3.04,Cart 1,
C209892,ANT016008LCS2442MA2,TDK,"SMD-6P,1.6x0.8mm",2.4GHz RF Antenna SMD,20,0.2311,4.62,Cart 1,Combined: was 20+5 across carts
C2887190,QMA6100P,QST,LGA-12(2x2),Accelerometer LGA-12,10,0.4284,4.28,Cart 1,
C53055684,GT-USB-9812A,G-Switch,SMD,USB 3.0 Connector SMD,10,0.9187,9.19,Cart 1,Combined: was 10+10 across carts
C42460106,GM32768KGBCZ2X,Yajingxin,SMD3215-2P,Crystal 32.768kHz ±10ppm 12.5pF,10,0.1713,1.71,Cart 1,
C7467283,FRC0201F1001TS,FOJAN,0201,1kΩ ±1% 50mW 0201 Resistor,100,0.0007,0.07,Cart 1,NEAR DUPE: C304503 1kΩ 0201 (100 on hand)
C6119877,CGA0603X7R475K100JT,HRE,0603,4.7uF ±10% 10V X7R 0603 Cap,50,0.0123,0.62,Cart 1,NEAR DUPE: C107368 4.7uF 0603 (100 on hand)
C5142542,TCC0201COG200J500ZT,CCTC,0201,20pF ±5% 50V C0G 0201 Cap,100,0.0006,0.06,Cart 1,
C7393848,TCC0402X5R104K160ATN,CCTC,0402,100nF ±10% 16V X5R 0402 Cap,100,0.0009,0.09,Cart 1,NEAR DUPE: C1525 100nF 0402 (100 on hand)
